Samp_ID ,Samp_Loc,Latitude,Longitude,UID,Depth,Unit,Area,Elev,Soil_Type,SandPD,ClayPD,SiltPD,pH_soil,SMC,LOI,WEP_2024,WEP_2025,WEP100,MM3P,M3P,TP,Ag_tot,Al_tot,As_tot,Ba_tot,Ca_tot,Cd_tot,Co_tot,Cr_tot,Cu_tot,Fe_tot,K_tot,Li_tot,Mg_tot,Mn_tot,Na_tot,Ni_tot,Pb_tot,S_tot,Se_tot,Si_tot,Zn_tot
LF 13 10-20,LF 13,36.11658,-94.56086,13b,20,cm,3,279.1,,9.0,19.8,71.2,,25.55,2.5,2.67,2.22,,10.48,13.79,198.6,0.23,6666.79,5.57,112.58,3158.83,2.7,9.15,15.34,10.04,13981.16,860.22,9.85,544.05,1007.84,26.42,14.63,24.66,196.86,,50.26,60.43
LF 14 10-20,LF 14,36.11683,-94.56131,14b,20,cm,3,279.0,,5.2,19.8,75.0,,28.15,2.27,2.58,2.25,,12.78,10.65,197.97,0.19,6790.2,4.42,111.08,2927.77,2.49,8.62,15.19,9.83,13750.13,783.86,9.75,534.68,811.97,27.27,14.11,24.36,164.25,,150.61,49.3
LF 15 10-20,LF 15,36.11598,-94.56183,15b,20,cm,3,279.1,,7.3,17.7,75.0,6.19,27.03,1.95,3.55,2.19,,13.69,13.62,185.29,0.17,6129.85,4.31,109.12,2577.27,2.24,8.8,14.54,9.5,12209.99,660.16,8.68,499.24,809.84,23.19,15.01,15.77,127.92,,28.09,46.33
LF 16 10-20,LF 16,36.11582,-94.56119,16b,20,cm,3,279.4,,21.3,15.0,63.7,6.41,28.24,2.19,4.74,1.93,,10.78,9.32,208.3,0.21,6717.57,4.73,115.52,2882.6,2.46,9.62,15.7,10.29,13193.47,804.34,9.69,565.54,944.49,24.17,16.14,16.47,140.12,,29.58,51.37
LF 17 10-20,LF 17,36.11505,-94.56161,17b,20,cm,3,279.4,,6.1,21.4,72.5,6.35,27.24,2.08,5.37,3.05,,16.77,10.39,211.23,0.23,7823.57,4.43,114.02,2756.84,2.44,9.29,17.48,10.11,13047.55,993.94,13.19,635.41,950.78,27.35,17.13,15.71,140.66,,22.11,53.32
LF 18 10-20,LF 18,36.11498,-94.56238,18b,20,cm,3,279.0,,11.1,18.9,69.9,6.46,28.04,1.69,3.22,2.37,,7.66,11.34,189.9,0.15,7917.74,4.44,102.44,2382.9,2.06,8.38,16.34,9.29,12180.04,750.43,11.24,519.39,613.67,26.37,15.11,15.86,114.36,,48.08,43.5
LF 19 10-20,LF 19,36.111367,-94.56025,19b,20,cm,2,279.1,,27.4,18.9,53.7,7.11,18.51,1.98,2.82,1.91,,5.55,2.62,149.99,0.2,6183.38,4.34,95.77,3518.76,2,7.97,15.96,8.57,13343.88,754.7,11.12,505,742.47,32.71,15.04,12.88,198.37,,45.82,44.56
LF 20 10-20,LF 20,36.111106,-94.559581,20b,20,cm,4,281.3,,12.4,21.4,66.2,6.72,22.67,1.15,4.14,2.01,,8.29,11.19,174.85,0.18,12163.42,4.23,116.18,3224.12,2.35,9.29,23.98,10.61,14822.49,1298.57,19.5,778.42,833.49,46.82,19.14,14.79,172.56,,42.89,56.7
LF 21 10-20,LF 21,36.112017,-94.558167,21b,20,cm,4,281.2,,20.0,10.0,70.0,6.2,18.83,2.3,4.15,3,,5.66,14.37,230.99,0.18,11478.83,4.23,120.36,2916.64,2.33,9.05,22.06,10.55,13882.52,1328.44,17.65,786.98,844.44,39.27,17.31,16.17,228.8,,30.89,60.84
LF 22 10-20,LF 22,36.10825,-94.560183,22b,20,cm,1,280.1,,16.1,18.9,64.9,,26.78,1.62,3.24,3.34,,8.8,18.09,224.31,0.13,7344.13,4.49,103.02,2733.44,2.21,8.33,15.73,9.01,13643.06,739.11,9.87,509.91,799.08,26.13,15.25,14.47,125.41,,42.73,49.72
LF 23 10-20,LF 23,36.1097,-94.560283,23b,20,cm,2,279.6,,13.6,16.4,70.0,,27.47,1.99,2.31,1.25,,10.31,7.73,147.24,0.21,6954.76,4.5,93.82,3578.01,1.93,7.88,14.53,8.05,11992.96,722.65,9.9,508.8,749.65,30.01,13.89,12.2,177.72,,224.84,43.88
LF 24 10-20,LF 24,36.110633,-94.5608,24b,20,cm,2,279.4,,14.9,16.4,68.7,,27.1,2.17,2.05,1.65,,4.79,8.53,138.78,0.16,7164.29,4.47,96.01,3576.82,1.92,7.92,14.62,8.18,12502.18,710.87,9.9,491.33,745.57,28.69,14.03,12.71,196.92,,31.99,41.86
LF 25 10-20,LF 25,36.111583,-94.56155,25b,20,cm,2,279.5,,9.8,17.7,72.5,,25.31,1.91,2.64,1.61,,5.75,17.4,212.84,0.21,8529.38,5.02,124.99,3563.63,2.47,9.19,16.61,10.72,15352.96,769.66,11.25,563.03,889.56,30.17,17.23,16.24,177.09,,34.13,55.67
LF 26 10-20,LF 26,36.111533,-94.5622,26b,20,cm,2,279.9,,34.9,13.9,51.2,,23.41,2.14,2.45,1.84,,8.75,9.7,173.09,0.18,8461.79,4.65,100.42,3494.41,1.98,7.51,17.8,9.21,12427.5,953.92,12.29,600.94,681.64,28.24,15.94,13.38,215.92,,65.58,44.03
LF 27 10-20,LF 27,36.1106,-94.561383,27b,20,cm,2,279.8,,13.6,15.2,71.2,,27.07,1.68,2.34,2.13,,,144.6,205.89,,5830.85,4.71,112.98,3019.11,1.32,8.22,14.98,9.43,15302.95,772.63,8.66,530.75,874.29,27.89,13.39,34.93,171.5,,17.16,51.87
LF 28 10-20,LF 28,36.109744,-94.5611724,28b,20,cm,2,279.9,,12.5,12.5,75.0,,27.13,2.12,2.22,1.87,,10.07,10.71,305.64,0.18,9807.87,5.37,123.44,3502.59,2.51,9.66,18.79,10.97,15912.91,973.86,15.16,664.3,840.92,37.19,18.15,16.31,185.04,,70.77,55.59
