Sample ID ,Soil pH,"Soil Moisture Content 
(water content %)","LOI 
(% weight loss)","Water Extractable P
(1:10 ratio)
(mg/kg)","Water Extractable P
(1:100 ratio)
(mg/kg)",Mod M3 P (mg/kg),Mehlich III - P (mg/kg),Total P (mg/kg),"Total Ag
(mg/kg)","Total Al
(mg/kg)","Total As 
(mg/kg)","Total Ba
(mg/kg)","Total Ca
(mg/kg)","Total Cd
(mg/kg)","Total Co
(mg/kg)","Total Cr
(mg/kg)","Total Cu
(mg/kg)","Total Fe
(mg/kg)","Total K
(mg/kg)","Total Li
(mg/kg)","Total Mg
(mg/kg)","Total Mn
(mg/kg)","Total Na
(mg/kg)","Total Ni
(mg/kg)","Total Pb
(mg/kg)","Total S
(mg/kg)","Total Se
(mg/kg)","Total Si
(mg/kg)","Total Zn
(mg/kg)"
LF 29 10-20,NM,27.70891816,2.023558003,2.02979702,NM,5.959006832,15.79620342,,0.217873072,7866.678463,4.825488833,117.7101523,3402.594507,2.440623669,9.334742946,15.25627602,10.87149189,15492.28169,774.8539952,9.636911546,545.9759545,830.0397366,24.9690839,16.79474528,16.14638821,188.4424985,BL,38.42560488,53.88285439
LF 30 10-20,NM,34.26671297,2.349423601,3.237841439,NM,10.15932271,8.368588376,,0.178937777,8832.349399,4.647880635,118.3004811,4022.161111,2.426760481,9.458329668,16.47608719,10.45123483,14938.90023,930.7342606,12.76381889,652.5530288,894.6193175,30.12569412,16.86332532,15.15876139,251.3487499,BL,42.18450431,55.03150011
LF 31 10-20,NM,33.12317351,2.210997273,3.709258148,NM,11.56,10.63988018,,0.203851052,9192.476644,4.232399709,111.92193,3598.541036,2.252220368,9.267058573,17.3285718,10.33365657,14579.5562,1014.957445,13.29560723,628.9364659,849.229107,27.71809486,16.82741657,14.70870067,222.2890463,BL,50.36620352,51.79819298
LF 32 10-20,NM,32.57913332,2.067363668,2.279164306,NM,3.749750017,10.64838613,,0.203261892,7156.343885,4.347467904,106.4944115,2910.690827,2.311495538,9.168636619,18.02118423,10.89338788,13254.53974,907.9357131,13.86096823,631.9930393,920.8902498,61.69825975,14.2109162,37.69799553,155.7219754,BL,43.47316458,54.22213807
LF 33 10-20,NM,28.90000896,2.135405578,1.928842694,NM,2.279468124,15.20813717,,BL,5330.38252,4.73891251,109.8611559,2524.329842,1.995975795,8.596543115,13.03562819,8.912548668,11476.10093,661.126534,8.449556362,473.2632845,693.4396639,55.46083717,11.57246607,33.28552799,BL,BL,64.6602282,37.32441742
LF 34 10-20,NM,38.07635257,2.800662674,3.258479376,NM,7.719485368,14.10288856,,0.269030469,7427.92695,5.306905344,130.3607995,4234.275278,2.959764919,10.06565036,18.12968825,BL,15177.89414,901.5683211,14.57083632,677.1939557,1284.528884,68.08243629,15.62987519,42.93807939,208.6544018,BL,63.3437826,72.21340773
LF 35 10-20,NM,28.57644916,1.801179547,3.568215892,NM,8.839410706,20.33015197,,0.160692946,5319.065757,4.002783739,90.97816389,2273.277441,2.16116934,8.433148575,15.24881279,10.63890698,12601.55555,635.7511073,8.56799279,486.1026239,523.8833925,57.28563512,11.44506428,39.12410113,BL,BL,108.3025759,44.61017123
LF 36 10-20,NM,31.5376214,2.312244046,2.068965517,NM,4.189301783,11.54733944,,0.168369002,5316.358335,4.777738186,101.1605304,2431.786052,2.185048349,8.819986593,14.59497909,9.649300321,12538.84214,660.2793563,8.744263384,511.8010654,755.5118457,54.85701991,13.74381595,37.72418873,122.8461793,BL,72.98357095,45.29019042
LF 37 10-20,NM,29.27993787,1.779248253,2.798321007,NM,3.659756016,4.0001233,,0.185281988,6161.637622,5.157604052,114.4413308,2552.353049,2.403742123,9.226743321,15.83813129,10.10637786,13570.72245,692.6134664,9.900865772,565.9224798,1001.798715,56.8503155,13.51274065,42.1813553,125.2606857,BL,60.12170395,46.07131372
LF 38 10-20,NM,31.3760927,1.408551566,2.259021091,27.49862507,2.569486103,8.097219429,,0.146753659,5371.554603,4.223801436,83.93546063,2088.110489,1.948901669,7.973433733,11.56639069,8.701314434,12104.19638,693.4237432,6.569243266,504.1838601,628.1701088,55.54298888,10.15391398,34.46279619,BL,BL,59.78674271,34.74376512
LF 39 10-20,NM,28.38391385,1.863968332,1.899240304,NM,NM,3.996353518,,BL,2810.745159,BL,65.31505752,2414.516864,BL,5.849894143,9.562174068,5.503821049,8636.654913,487.3733915,3.462276898,287.2252087,577.9155654,14.3502179,7.927216112,20.39225218,153.6072042,BL,22.81365959,28.00652281
LF 40 10-20,NM,NM,NM,2.778147901,NM,NM,6.868277493,,BL,3932.108138,BL,100.8684365,3846.420659,1.058086954,7.782575274,11.28411161,8.683472172,12207.1085,636.0661153,5.163926789,421.4183137,865.1233759,20.36867411,10.52039472,28.45028846,278.5129025,BL,38.00864446,43.12076746
LF 41 10-20,NM,NM,NM,1.919680053,NM,NM,9.080285238,,BL,3545.181175,BL,92.8610086,3236.192988,0.960076019,7.200793419,10.36949083,7.723699939,11188.63662,571.6716839,4.518162402,373.7129396,821.4388094,19.64695101,9.915799092,27.2371334,233.9744704,BL,33.89001366,39.54530796
LF 42 10-20,NM,NM,NM,2.959309494,NM,NM,3.633670962,,BL,3754.191765,BL,90.33980426,3229.982856,1.087119448,7.262234034,11.58599444,8.147160843,11567.84609,713.3659112,4.892037515,409.2285467,801.8719529,15.64521206,10.42561357,27.00696863,264.4234056,BL,21.75196416,41.95096416
