UID,DEPTH,DEPTH_A,AREA,ELEV,SAND_P,CLAY_P,SILT_P,pH,SMC,LOI,WEP,WEP100,MM3,M3,TP,AG,AL,AS,BA,CA,CD,CO,CR,CU,FE,K,LI,MG,MN,NA,NI,PB,S,SE,SI,ZN,P_sorb,PSI
25b,20,10-20cmbgs,2,279.49,9.846654356,17.69084499,72.46250066,,25.3,1.9,2.6,,5.7,17.4,212.8,0.2,8529.4,5,125,3563.6,2.5,9.2,16.6,10.7,15353,769.7,11.3,563,889.6,30.2,17.2,16.2,177.1,,34.1,55.7,253.2,141.1
25c,30,20-30cmbgs,2,279.49,8.592961308,17.69168491,73.71535378,,26.4,1.9,3,,6.2,12.5,227.3,0.2,7603.4,4.8,119.2,3280.7,2.4,8.9,15.4,9.9,14681.1,688.8,9.6,510.4,798.8,27.8,16.3,16.2,140.8,,35.1,47.9,255.6,142.5
26a,10,0-10cmbgs,2,279.88,37.31128397,13.94748945,48.74122658,,23.3,2.4,2.7,42,8.9,7.4,143.5,0.1,8027.4,4,90.3,3551.6,1.8,6.8,17.1,8.2,11839.8,930.1,11.1,566.7,599.5,26.5,14.6,12.8,207.3,,64,38.5,225.6,125
26b,20,10-20cmbgs,2,279.88,34.89033965,13.93067119,51.17898915,,23.4,2.1,2.4,,8.7,9.7,173.1,0.2,8461.8,4.7,100.4,3494.4,2,7.5,17.8,9.2,12427.5,953.9,12.3,600.9,681.6,28.2,15.9,13.4,215.9,,65.6,44,223.4,123.8
26c,30,20-30cmbgs,2,279.88,32.31049187,13.94783809,53.74167004,,26,2.4,1.7,,,8.7,162.1,,4205.6,,94.2,3552.3,1,6.6,12.4,8.5,11124.8,677.1,6.2,421.5,679.6,19,10.9,27.2,674,,31.1,40.1,250.2,139.3
27a,10,0-10cmbgs,2,279.76,6.052348691,17.69955751,76.2480938,,28.5,2.3,2,,,7.6,219.1,,4691.4,,91.4,2953.1,1.1,6.6,11.9,7.7,11449.9,691,7.2,456.4,751.6,22.3,10.6,26.6,192.8,,17.9,43.7,180.6,99.3
27b,20,10-20cmbgs,2,279.76,13.59579423,15.19194827,71.2122575,,27.1,1.7,2.3,,,144.6,205.9,,5830.9,4.7,113,3019.1,1.3,8.2,15,9.4,15303,772.6,8.7,530.8,874.3,27.9,13.4,34.9,171.5,,17.2,51.9,222,123
27c,30,20-30cmbgs,2,279.76,7.334749469,20.19242784,72.47282269,,26.5,1.5,2.4,,,9.7,204.9,,5309.1,4.9,103.3,2729.2,1.2,7.8,13.9,8.7,13949.5,711.6,7.8,478.5,769.8,25.8,12.3,32.3,153.1,,28.9,46.2,228.2,126.5
28a,10,0-10cmbgs,2,279.92,22.50813665,8.749081346,68.74278201,,31.8,2.6,1.9,,,27.7,205.8,,4400.9,,91.8,3481,1,7.1,11.6,8.2,11782.2,697.6,6.4,446.2,726.7,22.2,10.6,27.9,276.5,,34.3,41,266.6,148.9
28b,20,10-20cmbgs,2,279.92,12.50546841,12.4992188,74.99531279,,27.1,2.1,2.2,,10.1,10.7,305.6,0.2,9807.9,5.4,123.4,3502.6,2.5,9.7,18.8,11,15912.9,973.9,15.2,664.3,840.9,37.2,18.1,16.3,185,,70.8,55.6,261.4,145.9
28c,30,20-30cmbgs,2,279.92,15.00786177,14.99861263,69.9935256,,26.5,1.8,2.1,,,12.2,204.5,,5350.2,4.9,112.2,3162.5,1.3,8.6,14.2,9.5,15443,739.5,7.5,503.2,857.2,28.7,12.8,35.6,176.7,,23.6,48.1,234.2,130
29a,10,0-10cmbgs,1,280.42,12.35893861,17.68810475,69.95295664,,29.5,2.3,2.2,,,9.6,519.7,,4232.6,,102.6,3762,1.2,8,12.1,9.3,12956.6,691.9,5.4,456.7,852.7,17.5,11.8,30.4,283.4,,38.6,47.3,253.2,141.1
29b,20,10-20cmbgs,1,280.42,12.32060466,18.9455478,68.73384755,,27.7,2,2,,6,15.8,214.6,0.2,7866.7,4.8,117.7,3402.6,2.4,9.3,15.3,10.9,15492.3,774.9,9.6,546,830,25,16.8,16.1,188.4,,38.4,53.9,353,200.7
