UID,DEPTH,DEPTH_A,AREA,ELEV,SAND_P,CLAY_P,SILT_P,pH,SMC,LOI,WEP,WEP100,MM3,M3,TP,AG,AL,AS,BA,CA,CD,CO,CR,CU,FE,K,LI,MG,MN,NA,NI,PB,S,SE,SI,ZN,P_sorb,PSI
35c,30,20-30cmbgs,4,279.27,0,21.07792088,78.92207912,,31.8,1.2,2.8,,18,26.3,333.6,0.2,5452.8,5,106.5,3553.4,2.1,8.7,14.4,10.4,12491.4,789.5,9.5,559.1,929.2,55.4,12.4,36.1,220.5,,61.9,48.1,203.8,112.5
36a,10,0-10cmbgs,4,279.82,11.08023272,13.59537757,75.32438971,,34.9,2.2,2,30.1,6.1,9.4,169.4,0.2,6470.2,4.5,115.9,3133.8,2.4,9.7,16.6,10.7,12928.3,798.8,11.8,618.4,934.4,57.3,13.9,40.3,184.3,,57.9,54.3,138.9,75.9
36b,20,10-20cmbgs,4,279.82,11.07289873,13.5964989,75.33060237,,31.5,2.3,2.1,,4.2,11.5,159.9,0.2,5316.4,4.8,101.2,2431.8,2.2,8.8,14.6,9.6,12538.8,660.3,8.7,511.8,755.5,54.9,13.7,37.7,122.8,,73,45.3,229.4,127.2
36c,30,20-30cmbgs,4,279.82,4.912678476,16.08094408,79.00637744,,28.3,1.4,2.9,,8.1,3.3,164.1,0.2,6659.1,4.1,97.5,3180.1,2.1,8.1,17,9.1,11445.1,849,12.8,632.3,858.2,62.5,12.2,34.1,220.7,,62.4,51.3,228.2,126.5
37a,10,0-10cmbgs,4,280.68,12.39198841,13.58573498,74.02227661,,39.1,2.8,2.2,,3.7,0.7,143.6,0.2,5924.6,4.8,116.2,2662.3,2.5,9.8,16.6,11,13697.5,670.6,9.2,565.6,1191.2,56.2,12.7,45,136.1,,52.7,54.4,191.4,105.4
37b,20,10-20cmbgs,4,280.68,2.33589156,18.59316701,79.07094143,,29.3,1.8,2.8,,3.7,4,175.1,0.2,6161.6,5.2,114.4,2552.4,2.4,9.2,15.8,10.1,13570.7,692.6,9.9,565.9,1001.8,56.9,13.5,42.2,125.3,,60.1,46.1,216,119.5
37c,30,20-30cmbgs,4,280.68,3.570973313,22.34513993,74.08388675,,29.1,1.4,1.8,,6.2,1,234,0.2,4280,4.5,90.1,3284.5,1.9,7.4,12.1,9.3,10088.4,690,6.9,485.3,770,,10.5,30.1,221.4,,64.3,42.4,235.4,130.7
38a,10,0-10cmbgs,4,280.63,42.51408405,6.248469125,51.23744683,,38,5.4,3.4,34.8,6.9,4.5,178.5,0.2,6751.4,4.3,100.5,2842.1,2.1,7.8,17.1,11,11324.9,859.6,12.9,635.9,769.2,60.2,12.5,34.9,175.2,,48.8,52.1,166.8,91.5
38b,20,10-20cmbgs,4,280.63,32.50894257,9.998675176,57.49238226,,31.4,1.4,2.3,27.5,2.6,8.1,148.5,0.1,5371.6,4.2,83.9,2088.1,1.9,8,11.6,8.7,12104.2,693.4,6.6,504.2,628.2,55.5,10.2,34.5,,,59.8,34.7,182.4,100.3
38c,30,20-30cmbgs,4,280.63,30.01084832,11.24825652,58.74089516,,22.5,1,1.6,32.1,6.5,1.8,99.9,0.2,5392.4,4.4,89.6,2437.9,2.1,7.7,15.5,8.8,11298.2,681.4,10,505.4,758,57.1,13.4,33.3,111.9,,44.7,47.6,160.2,87.7
39a,10,0-10cmbgs,4,279.12,12.39395748,14.83409044,72.77195208,,30.5,1.3,1.8,,,4.8,114,,3619.8,,75.5,3071.1,0.9,6.1,10.4,6.4,9760.1,611.8,5.1,367.8,654,15.5,8.8,23.3,193.9,,31,33.4,121,65.8
39b,20,10-20cmbgs,4,279.12,32.35124393,16.08781348,51.56094259,,28.4,1.9,1.9,,,4,109.7,,2810.7,,65.3,2414.5,,5.8,9.6,5.5,8636.7,487.4,3.5,287.2,577.9,14.4,7.9,20.4,153.6,,22.8,28,99.6,54
39c,30,20-30cmbgs,4,279.12,27.33342662,13.59374688,59.0728265,,27.2,2.1,1.9,,,4.1,143.7,,3369.3,,75.5,2785.2,,6.4,10.6,6.5,9821.1,539.2,4.5,327.1,652.5,17.4,8.9,23.2,180.5,,27,33.3,107.9,58.6
40a,10,0-10cmbgs,4,279.13,11.09156469,13.59364497,75.31479034,,,,2.8,,,7.7,193.7,,4175.2,,95.5,4016.6,,7.4,11.3,8.2,11884.8,690.7,5.9,447.5,813.8,20.6,10.2,28.3,807.4,,34.1,41.3,151.2,82.7
40b,20,10-20cmbgs,4,279.13,11.14218998,12.33720015,76.52060987,,,,2.8,,,6.9,197.1,,3932.1,,100.9,3846.4,1.1,7.8,11.3,8.7,12207.1,636.1,5.2,421.4,865.1,20.4,10.5,28.5,278.5,,38,43.1,162.6,89.1
40c,30,20-30cmbgs,4,279.13,9.821868197,13.5967028,76.581429,,,,2.3,,,7.3,227.7,,4398.9,,106.9,3709.3,,8.2,12.4,9.2,13548.1,670.6,6,448.2,933.5,22,11.6,32.2,296.7,,21.5,47.9,262.6,146.6
41a,10,0-10cmbgs,4,279.39,22.50309988,7.499700012,69.99720011,,,,2.5,,,4.4,175.5,,3679.7,,86.8,3128.2,1,6.8,10.4,7.4,10928.3,598.6,5,391.6,761.6,27.8,9,26,250.1,,31.8,37.2,161.2,88.3
41b,20,10-20cmbgs,4,279.39,16.10201675,16.09002419,67.80795907,,,,1.9,,,9.1,177.9,,3545.2,,92.9,3236.2,1,7.2,10.4,7.7,11188.6,571.7,4.5,373.7,821.4,19.6,9.9,27.2,234,,33.9,39.5,259,144.5
41c,30,20-30cmbgs,4,279.39,14.91890084,14.82927609,70.25182308,,,,2.4,,,9.9,193.4,,4112.4,,105.9,3475.2,1.1,8.1,12,8.9,13010.7,640.5,5.6,418.2,936.1,23.1,11.6,30.4,282.5,,34.1,46.8,223.2,123.7
42a,10,0-10cmbgs,4,279.56,22.40184758,11.08545035,66.51270208,,,,2.8,,,9.3,187.2,,3578.4,,81.8,3099.9,1,6.9,10.9,7.3,10482,722.1,4.9,396.9,725.6,17.5,9.2,24.1,238.6,,29.1,38.4,110.8,60.2
42b,20,10-20cmbgs,4,279.56,17.39788351,12.33538257,70.26673392,,,,3,,,3.6,190.7,,3754.2,,90.3,3230,1.1,7.3,11.6,8.1,11567.8,713.4,4.9,409.2,801.9,15.6,10.4,27,264.4,,21.8,42,175.4,96.3
42c,30,20-30cmbgs,4,279.56,12.37273063,12.339758,75.28751137,,,,2.4,,,8.2,238.4,,3876.1,,97.1,3189.1,1.2,7.7,11.8,8.6,12277.6,703.5,5.1,408.7,902,16.1,11.2,28.4,272.8,,23.6,49.3,118.2,64.3
43a,5,0-10cmbgs,4,279.57,11.12021503,11.09123792,77.78854705,,36.9,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,173,95
43b,10,0-10cmbgs,4,279.57,13.63506946,11.08907726,75.27585328,,30.8,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,134,73
43c,20,10-20cmbgs,4,279.57,7.344243124,16.09231592,76.56344096,,28,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,259.4,144.7
43d,30,20-30cmbgs,4,279.57,23.61168357,11.09104398,65.29727245,,25.9,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,102.2,55.4
44a,5,0-10cmbgs,4,279.49,19.89152393,9.838759218,70.26971685,,49.2,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,140,76.4
44b,10,0-10cmbgs,4,279.49,14.84257871,11.09445277,74.06296852,,80.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,158.4,86.7
44c,20,10-20cmbgs,4,279.49,13.67409349,11.08406665,75.24183986,,31.3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,134.4,73.3
44d,30,20-30cmbgs,4,279.49,14.82193335,11.09714249,74.08092416,,28.5,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,212.2,117.3
45a,5,0-10cmbgs,3,279.5,9.855664127,12.34237858,77.80195729,,37.2,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,176.4,96.9
45b,10,0-10cmbgs,3,279.5,12.34382809,11.09445277,76.56171914,,31.5,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,188.6,103.8
45c,20,10-20cmbgs,3,279.5,13.62104669,8.592932313,77.786021,,30.5,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,282.2,158.1
45d,30,20-30cmbgs,3,279.5,6.138230064,18.58253242,75.27923752,,29,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,255.4,142.4
46a,5,0-10cmbgs,2,279.69,13.59406703,19.83988166,66.56605131,,36.1,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,363.2,207
46b,10,0-10cmbgs,2,279.69,21.1068031,17.33751699,61.55567991,,33.1,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,334.8,189.6
46c,20,10-20cmbgs,2,279.69,21.09615875,17.33985618,61.56398507,,28.7,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,119,64.7
46d,30,20-30cmbgs,2,279.69,24.85673317,16.08785367,59.05541316,,28.5,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,155.4,85
