DEPTH,AREA,ELEV,SAND_P,CLAY_P,SILT_P,pH,SMC,LOI,WEP,WEP100,MM3,M3,TP,AG,AL,AS,BA,CA,CD,CO,CR,CU,FE,K,LI,MG,MN,NA,NI,PB,S,SE,SI,ZN,P_sorb,PSI
30,3,279.4,25,13.8,61.3,,28.9,1.9,2.1,,,8.7,207.3,,5082.4,4.8,107.5,2627.1,,8.3,13.8,9,14457.8,759.8,6.9,492.5,914.8,21.1,12,34.3,151.9,,30.4,48,258.6,144.2
10,3,279.4,15,15.2,69.9,6.5,34.1,3.1,5,,9.8,10.3,211.7,0.2,7506.9,5.1,109.5,3805.1,2.2,8.5,14.6,10,12352.4,886,10.8,582.9,871.2,24.5,15.3,14.1,259.9,,31,52.4,229.4,127.2
20,3,279.4,6.1,21.4,72.5,6.4,27.2,2.1,5.4,,16.8,10.4,211.2,0.2,7823.6,4.4,114,2756.8,2.4,9.3,17.5,10.1,13047.6,993.9,13.2,635.4,950.8,27.3,17.1,15.7,140.7,,22.1,53.3,320.8,181.2
30,3,279.4,7.4,21.4,71.2,6.5,26.5,2,4.3,,19.9,10.6,189.2,0.2,8107.5,4.7,117,2659.7,2.4,9.3,18.8,10,12610.5,1050.3,14.2,657,916.7,29.6,17.6,15.9,128.7,,25.7,51.9,239,132.8
10,3,279,7.4,18.9,73.7,6.4,29.7,2.2,4.4,42.1,10.9,14.8,208.6,0.2,8641.9,4.7,117.1,3016.8,2.3,9,19.5,11.5,12503.9,1034.9,15.5,666.3,775.8,33.3,17.4,17,167,,50,53.7,255.8,142.6
20,3,279,11.2,18.9,69.9,6.5,28,1.7,3.2,,7.7,11.3,189.9,0.2,7917.7,4.4,102.4,2382.9,2.1,8.4,16.3,9.3,12180,750.4,11.2,519.4,613.7,26.4,15.1,15.9,114.4,,48.1,43.5,238.4,132.5
30,3,279,2.3,23.9,73.7,6.4,28.7,1.8,2.8,,8.1,11.3,167.5,0.2,7176.8,4.3,96.5,2463.5,2.1,8.2,16.9,8.8,11446,784,12,534.6,399.4,28,14.8,15.8,98.3,,38.9,39.5,298.8,168
10,2,279.1,26.2,20.2,53.7,6.9,15.1,1.3,2.5,28.6,4.9,1.2,104.4,0.2,5513.3,3.8,83.1,3041.3,1.8,7.2,14.8,7.4,10733.1,660.6,9.2,446.3,645,26.4,13.2,11.5,179.4,,46,36.9,114.2,62
20,2,279.1,27.4,18.9,53.7,7.1,18.5,2,2.8,,5.5,2.6,150,0.2,6183.4,4.3,95.8,3518.8,2,8,16,8.6,13343.9,754.7,11.1,505,742.5,32.7,15,12.9,198.4,,45.8,44.6,261,145.6
30,2,279.1,18.6,20.2,61.2,6.9,20.4,1.8,3.3,,4.8,10.9,140.3,0.2,8976,4.4,103.5,3439.5,2.1,8.5,19,9.4,12204.2,939.2,14.4,585.3,766.3,42,16.4,13.2,180.5,,35.4,50.5,308.2,173.6
10,4,281.3,22.4,17.7,59.9,7.1,18.7,2,2.9,,6.9,10.1,155.4,0.2,7835.2,4.3,91,3308.4,1.9,7.8,17.2,8.3,11252.6,929.2,12.2,576,685,29.6,14.8,12.9,205,,45.9,42.8,202,111.5
20,4,281.3,12.4,21.4,66.2,6.7,22.7,1.1,4.1,,8.3,11.2,174.9,0.2,12163.4,4.2,116.2,3224.1,2.4,9.3,24,10.6,14822.5,1298.6,19.5,778.4,833.5,46.8,19.1,14.8,172.6,,42.9,56.7,219.2,121.3
30,4,281.3,19.8,20.2,60,6.9,21.7,1.7,3.6,,5.9,9.7,169.6,0.2,7011.9,4,99.2,3271.9,2,8.3,15,8.9,12659.1,723.2,9.9,504.1,781.4,26.5,14.9,13.6,179.6,,37,44.1,281.4,157.7
10,4,281.2,30,5,65,6.5,18.2,3.2,4.9,,6.9,12.5,210.6,0.1,9570.6,3.9,104.7,4251.2,2,8.1,18,9.2,12399.5,1106.5,14.3,674.9,765.1,32.5,14.9,13.5,290.6,,32.4,49.7,273.4,152.9
20,4,281.2,20,10,70,6.2,18.8,2.3,4.1,,5.7,14.4,231,0.2,11478.8,4.2,120.4,2916.6,2.3,9,22.1,10.5,13882.5,1328.4,17.7,787,844.4,39.3,17.3,16.2,228.8,,30.9,60.8,202.6,111.9
30,4,281.2,27.5,17.5,55,6.1,17.9,1.8,4.3,,9.2,12.7,208.8,0.2,11478.2,3.9,122.4,2673.3,2.4,9.6,20.8,10.4,14887.1,1235.3,17.2,759.7,888.6,35.8,17.4,17.7,178,,43.5,59.6,289.2,162.3
10,1,280.1,12.3,20.2,67.5,,30.7,2.4,3.6,,8.5,13.3,245.5,0.2,8166.9,5.1,125.9,3775,2.6,9.7,16.5,11.2,14772,908.3,12.4,616.6,1211.8,28.5,17.9,16.2,218,,38.4,60.4,291.6,163.7
20,1,280.1,16.1,18.9,64.9,,26.8,1.6,3.2,,8.8,18.1,224.3,0.1,7344.1,4.5,103,2733.4,2.2,8.3,15.7,9,13643.1,739.1,9.9,509.9,799.1,26.1,15.2,14.5,125.4,,42.7,49.7,169.4,92.9
30,1,280.1,28.6,17.7,53.7,,24.6,1.2,3.1,,10.9,10.7,195,0.1,5768.1,3.5,75.8,1915.5,1.6,6.7,13.8,6.5,10284.2,594.5,7.8,396.4,468.1,22.2,11.8,12.2,82.5,,47.7,35.9,39.2,21
10,2,279.6,12.3,17.7,70,,30,2.2,2,33.4,6.1,6.6,135.6,0.2,6685.9,4.1,91.6,3492.8,1.8,7.7,13.6,8,11543.3,721.9,9.5,496.4,735.7,24.9,13.2,12.6,174.8,,53.9,37.3,273.2,152.8
20,2,279.6,13.6,16.5,70,,27.5,2,2.3,,10.3,7.7,147.2,0.2,6954.8,4.5,93.8,3578,1.9,7.9,14.5,8,11993,722.6,9.9,508.8,749.6,30,13.9,12.2,177.7,,224.8,43.9,292.6,164.3
30,2,279.6,11.1,17.7,71.2,,28.7,2.2,2.3,,7.7,8.9,172.3,0.2,9495.2,4.7,105,3969,2.1,8.5,17.9,9.3,14174.3,962.7,14.2,636.4,815.6,36.6,16.6,13.5,196.6,,73.1,48.9,288.6,161.9
10,2,279.4,12.3,15.2,72.5,,28.2,2.4,2.3,35.2,6.4,10.4,143.7,0.2,7114.5,3.7,96.6,3798.3,1.9,7.9,14.1,8.3,12400.6,711.4,9.5,495.4,757.2,27,13.8,12.6,206.7,,43,40.5,277.4,155.3
20,2,279.4,14.9,16.4,68.7,,27.1,2.2,2,,4.8,8.5,138.8,0.2,7164.3,4.5,96,3576.8,1.9,7.9,14.6,8.2,12502.2,710.9,9.9,491.3,745.6,28.7,14,12.7,196.9,,32,41.9,243.8,135.6
30,2,279.4,11.1,17.7,71.2,,27.4,2.4,2.2,,,9.6,175.4,,4002.3,,89.8,3311.6,,6.9,11.4,7.6,11586.9,620.6,5.7,384.5,768.5,21.7,10.3,27.2,211.3,,27.1,41.4,163.4,89.5
10,2,279.5,14.9,13.9,71.2,,30,2.8,1.9,,,8.2,203,,4658.7,,108.4,3947.8,,7.8,12.9,9.6,13249.3,672.4,6.3,469.4,869.3,22,12.1,31.3,328.2,,31.8,46.6,204.4,112.9
20,2,279.5,9.9,17.7,72.5,,25.3,1.9,2.6,,5.7,17.4,212.8,0.2,8529.4,5,125,3563.6,2.5,9.2,16.6,10.7,15353,769.7,11.3,563,889.6,30.2,17.2,16.2,177.1,,34.1,55.7,253.2,141.1
30,2,279.5,8.6,17.7,73.7,,26.4,1.9,3,,6.2,12.5,227.3,0.2,7603.4,4.8,119.2,3280.7,2.4,8.9,15.4,9.9,14681.1,688.8,9.6,510.4,798.8,27.8,16.3,16.2,140.8,,35.1,47.9,255.6,142.5
10,2,279.9,37.3,14,48.7,,23.3,2.4,2.7,42,8.9,7.4,143.5,0.1,8027.4,4,90.3,3551.6,1.8,6.8,17.1,8.2,11839.8,930.1,11.1,566.7,599.5,26.5,14.6,12.8,207.3,,64,38.5,225.6,125
20,2,279.9,34.9,13.9,51.2,,23.4,2.1,2.4,,8.7,9.7,173.1,0.2,8461.8,4.7,100.4,3494.4,2,7.5,17.8,9.2,12427.5,953.9,12.3,600.9,681.6,28.2,15.9,13.4,215.9,,65.6,44,223.4,123.8
